Application_ID,Application_Date,Age,Gender,Marital_Status,Education,Employment_Type,Employment_Years,State,City_Tier,Branch_Type,Annual_Income,Monthly_Income,Existing_Debt,Existing_Loans,Credit_Card_Balance,Bank_Balance,Credit_Score,Risk_Category,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Estimated_EMI,Debt_to_Income_Pct,Documentation_Status,Verification_Status,Application_Channel,Approval_Status,Approval_Date,Disbursement_Status,Disbursement_Date,Disbursed_Amount,Default_Status,Days_Past_Due,Recovery_Amount,Approval_Flag,Default_Flag,Disbursement_Flag,Income_Band,Credit_Score_Band,Loan_Amount_Band
BL100023,2024-11-30,29,Male,Divorced,Graduate,Business Owner,4.2,Karnataka,Tier 2,Urban,478700,39892,97500,0,151600,210800,569,Very High,Personal,552000,12,9.67,48445,141.81,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100024,2025-09-02,35,Male,Single,Post Graduate,Contract,9.7,West Bengal,Tier 2,Rural,1089000,90750,374200,0,138700,123200,649,High,Debt Consolidation,926000,48,9.47,23251,59.98,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Fair (580-669),500k-1M
BL100025,2023-07-09,44,Female,Married,Diploma,Salaried,7.2,Kerala,Tier 3,Semi-Urban,408900,34075,105400,2,52200,139800,541,Very High,Home,266000,60,10.36,5699,42.5,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
BL100026,2025-08-15,30,Other,Married,High School,Self-Employed,12.2,Kerala,Tier 2,Rural,1344100,112008,480900,2,128300,148200,634,High,Personal,978000,36,8.1,30692,63.18,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Fair (580-669),500k-1M
BL100027,2024-11-17,35,Female,Single,Diploma,Business Owner,14.1,Gujarat,Tier 1,Urban,1485300,123775,223200,1,18300,1699800,657,High,Home,1384000,48,7.86,33697,42.25,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Fair (580-669),1M-1.5M
BL100028,2025-08-15,40,Female,Married,Graduate,Salaried,8.0,Maharashtra,Tier 2,Urban,1093800,91150,216100,3,15100,650400,532,Very High,Vehicle,1099000,12,10.42,96834,125.99,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Poor (300-579),1M-1.5M
BL100029,2024-07-16,36,Female,Single,Graduate,Self-Employed,10.6,Kerala,Tier 3,Urban,1016200,84683,206500,0,96400,192600,641,High,Debt Consolidation,883000,72,6.68,14919,37.94,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Fair (580-669),500k-1M
BL100030,2025-04-11,39,Female,Married,Diploma,Self-Employed,5.9,Tamil Nadu,Tier 1,Urban,255900,21325,9200,1,81700,672200,464,Very High,Personal,256000,60,9.56,5384,28.84,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,< 300k,Poor (300-579),250k-500k
BL100031,2024-10-08,28,Male,Single,Graduate,Salaried,3.9,Maharashtra,Tier 3,Urban,2414400,201200,359200,2,83500,682900,664,High,Personal,2023000,48,7.88,49273,39.37,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,> 1.5M,Fair (580-669),> 1.5M
BL100032,2023-01-21,38,Male,Single,Graduate,Salaried,13.1,Karnataka,Tier 2,Rural,1011900,84325,374800,1,26600,242400,629,High,Education,1430000,84,7.84,22174,63.34,Complete,Verified,Website,Approved,2023-01-26,Disbursed,2023-02-06,1430000,Current,15,0,1,0,1,1M-1.5M,Fair (580-669),1M-1.5M
BL100033,2025-04-20,39,Female,Married,Post Graduate,Other,4.9,Karnataka,Tier 3,Urban,744300,62025,77900,0,45800,110000,590,High,Debt Consolidation,593000,36,7.8,18528,40.34,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),500k-1M
BL100034,2023-06-16,53,Female,Married,Diploma,Contract,4.1,Karnataka,Tier 3,Rural,594700,49558,57500,1,82200,160800,503,Very High,Home,909000,36,9.94,29305,68.8,Complete,Pending,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100035,2024-01-23,36,Male,Married,Diploma,Business Owner,2.1,Maharashtra,Tier 1,Rural,566400,47200,160700,0,59100,86300,467,Very High,Personal,541000,36,10.44,17569,65.59,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100036,2024-08-23,32,Male,Married,Graduate,Contract,10.4,Karnataka,Tier 3,Semi-Urban,601400,50117,125200,1,34100,109900,540,Very High,Business,840000,60,8.95,17417,55.57,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Poor (300-579),500k-1M
BL100037,2023-11-12,44,Female,Single,High School,Business Owner,6.3,Maharashtra,Tier 2,Semi-Urban,1079400,89950,50200,0,69500,369500,495,Very High,Education,1014000,24,11.06,47289,57.22,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Poor (300-579),1M-1.5M
BL100038,2023-01-14,21,Male,Single,Graduate,Salaried,18.6,Kerala,Tier 2,Urban,949300,79108,184100,1,119900,209000,598,High,Personal,1694000,24,8.29,76839,116.53,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),> 1.5M
BL100039,2023-08-30,35,Other,Married,Graduate,Self-Employed,4.2,Karnataka,Tier 3,Urban,600900,50075,316600,1,72500,818800,693,Medium,Vehicle,608000,48,6.32,14368,81.38,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Good (670-739),500k-1M
BL100040,2025-02-15,33,Female,Married,Post Graduate,Self-Employed,4.8,Tamil Nadu,Tier 1,Urban,564200,47017,143000,1,25100,110700,547,Very High,Home,230000,60,9.48,4828,35.61,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),< 250k
BL100041,2024-07-18,40,Female,Married,Post Graduate,Salaried,8.0,Karnataka,Tier 1,Urban,1717400,143117,12300,1,95300,38600,637,High,Business,577000,60,7.98,11694,8.89,Complete,Verified,Mobile App,Approved,2024-07-25,Disbursed,2024-08-05,577000,Current,0,0,1,0,1,> 1.5M,Fair (580-669),500k-1M
BL100042,2025-06-16,49,Male,Married,Post Graduate,Salaried,5.2,Maharashtra,Tier 3,Semi-Urban,713100,59425,28800,0,48100,47600,641,High,Vehicle,306000,60,7.93,6194,14.46,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),250k-500k
BL100043,2023-04-02,52,Male,Single,Graduate,Salaried,3.3,Delhi,Tier 1,Rural,1148300,95692,79200,0,119700,45600,695,Medium,Personal,2007000,36,5.5,60603,70.23,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Good (670-739),> 1.5M
BL100044,2025-08-13,40,Male,Married,Post Graduate,Self-Employed,6.5,Andhra Pradesh,Tier 3,Urban,1146500,95542,86300,0,42200,193300,641,High,Vehicle,224000,60,7.63,4502,12.24,Complete,Verified,Mobile App,Approved,2025-08-17,Disbursed,2025-08-25,224000,Current,0,0,1,0,1,1M-1.5M,Fair (580-669),< 250k
BL100045,2024-05-23,24,Female,Married,Graduate,Salaried,4.4,Andhra Pradesh,Tier 1,Urban,250600,20883,9800,3,75800,255100,522,Very High,Personal,414000,36,10.57,13470,68.41,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,< 300k,Poor (300-579),250k-500k
BL100046,2025-02-14,33,Female,Single,Graduate,Salaried,7.0,Tamil Nadu,Tier 1,Urban,606100,50508,89700,0,72600,80100,645,High,Personal,880000,60,7.45,17612,49.67,Complete,Verified,Website,Approved,2025-02-25,Disbursed,2025-03-06,880000,Current,5,0,1,0,1,600k-1M,Fair (580-669),500k-1M
BL100047,2023-02-04,34,Male,Married,Graduate,Self-Employed,1.1,Rajasthan,Tier 2,Urban,390700,32558,100200,1,33900,179200,489,Very High,Debt Consolidation,102000,60,10.99,2217,32.46,Incomplete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),< 250k
BL100048,2023-07-25,41,Female,Single,Graduate,Salaried,5.4,Karnataka,Tier 3,Urban,1012600,84383,121900,4,22700,309200,670,Medium,Vehicle,200000,36,7.91,6259,19.46,Complete,Verified,Agent,Approved,2023-07-31,Disbursed,2023-08-10,200000,Current,0,0,1,0,1,1M-1.5M,Good (670-739),< 250k
BL100049,2025-10-22,39,Female,Single,Diploma,Self-Employed,13.0,Karnataka,Tier 2,Semi-Urban,911800,75983,38100,2,30600,33600,603,High,Personal,644000,60,8.27,13141,21.47,Complete,Failed,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),500k-1M
BL100050,2025-10-18,32,Female,Widowed,Graduate,Salaried,4.5,Maharashtra,Tier 3,Semi-Urban,351300,29275,113400,3,15500,92400,582,High,Debt Consolidation,172000,60,8.66,3542,44.38,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),< 250k
BL100051,2024-07-19,27,Male,Married,Graduate,Business Owner,2.3,Karnataka,Tier 2,Semi-Urban,1153400,96117,59700,0,7100,95200,772,Low,Personal,1833000,72,6.68,30970,37.4,Complete,Pending,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Very Good (740-799),> 1.5M
BL100052,2024-12-03,30,Male,Married,Diploma,Salaried,4.0,Maharashtra,Tier 3,Urban,770800,64233,43000,1,257500,183300,512,Very High,Business,399000,36,10.04,12882,25.63,Complete,Failed,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Poor (300-579),250k-500k
BL100053,2024-02-06,30,Male,Married,Graduate,Business Owner,17.0,Telangana,Tier 1,Semi-Urban,481200,40100,140400,0,96900,70400,547,Very High,Personal,331000,48,9.13,8257,49.77,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
BL100054,2024-12-30,53,Male,Married,Graduate,Business Owner,14.8,Tamil Nadu,Tier 3,Semi-Urban,535400,44617,150000,1,252500,98500,462,Very High,Personal,372000,48,12.39,9868,50.13,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
BL100055,2023-06-11,31,Female,Single,Post Graduate,Other,4.1,Tamil Nadu,Tier 2,Semi-Urban,1128900,94075,225000,3,34500,124800,540,Very High,Medical,1612000,48,11.2,41820,64.38,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Poor (300-579),> 1.5M
BL100056,2023-07-21,39,Male,Married,Graduate,Salaried,7.3,Karnataka,Tier 3,Rural,512500,42708,52900,3,81700,49600,632,High,Personal,537000,24,7.36,24131,66.82,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),500k-1M
BL100057,2025-09-22,47,Female,Single,Graduate,Business Owner,5.9,Tamil Nadu,Tier 1,Semi-Urban,383400,31950,41100,0,40600,188800,587,High,Vehicle,251000,60,9.3,5247,27.14,Complete,Verified,Mobile App,Approved,2025-09-28,Disbursed,2025-10-05,251000,Default,270,28300,1,1,1,300k-600k,Fair (580-669),250k-500k
BL100058,2023-09-27,40,Female,Married,Graduate,Self-Employed,4.2,Rajasthan,Tier 1,Semi-Urban,1132500,94375,280900,1,74500,1056900,631,High,Business,524000,48,8.45,12903,38.48,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Fair (580-669),500k-1M
BL100059,2025-03-26,28,Male,Married,Post Graduate,Salaried,3.4,Karnataka,Tier 2,Semi-Urban,772600,64383,148600,0,43300,39500,608,High,Debt Consolidation,571000,60,8.1,11605,37.26,Complete,Verified,Partner,Approved,2025-04-04,Disbursed,2025-04-13,571000,Default,491,177600,1,1,1,600k-1M,Fair (580-669),500k-1M
BL100060,2024-03-31,47,Female,Married,Diploma,Business Owner,4.2,Andhra Pradesh,Tier 1,Semi-Urban,552900,46075,71400,1,157400,36700,509,Very High,Home,756000,24,10.26,34976,88.83,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100061,2025-10-13,41,Male,Married,Graduate,Salaried,7.9,Kerala,Tier 1,Rural,709000,59083,52200,1,125300,344700,546,Very High,Personal,554000,60,7.82,11185,26.29,Incomplete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Poor (300-579),500k-1M
BL100062,2023-10-23,21,Female,Single,Diploma,Contract,2.7,Gujarat,Tier 3,Rural,505900,42158,245400,0,62700,37700,541,Very High,Debt Consolidation,884000,48,8.89,21952,100.58,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100063,2024-12-20,49,Male,Married,Graduate,Self-Employed,2.2,Kerala,Tier 3,Urban,580300,48358,20600,1,84400,93300,584,High,Vehicle,352000,72,7.43,6074,16.11,Complete,Pending,Agent,Approved,2024-12-29,Disbursed,2025-01-09,352000,Default,52,102200,1,1,1,300k-600k,Fair (580-669),250k-500k
BL100064,2023-12-04,46,Female,Divorced,High School,Salaried,6.7,Tamil Nadu,Tier 1,Semi-Urban,651900,54325,49000,1,33100,61000,615,High,Home,630000,36,7.74,19666,43.72,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),500k-1M
BL100065,2025-05-28,41,Male,Married,Post Graduate,Business Owner,5.0,Gujarat,Tier 1,Rural,911400,75950,206400,2,37900,28200,541,Very High,Education,1122000,24,9.57,51552,90.52,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Poor (300-579),1M-1.5M
BL100066,2025-12-12,53,Female,Single,Post Graduate,Salaried,3.2,Maharashtra,Tier 2,Semi-Urban,419700,34975,29300,1,94400,29000,531,Very High,Education,431000,84,9.98,7151,27.43,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
BL100067,2025-03-02,46,Female,Married,Graduate,Self-Employed,6.0,Maharashtra,Tier 1,Semi-Urban,347300,28942,89800,1,92500,68800,547,Very High,Vehicle,529000,12,9.79,46456,186.37,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100068,2023-08-05,48,Male,Married,Graduate,Salaried,3.4,Telangana,Tier 2,Semi-Urban,688800,57400,99500,2,44800,452700,480,Very High,Personal,1093000,48,10.02,27732,62.76,Incomplete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Poor (300-579),1M-1.5M
BL100069,2025-02-02,47,Male,Single,Post Graduate,Contract,7.7,West Bengal,Tier 3,Semi-Urban,791600,65967,335300,0,52800,231200,683,Medium,Personal,130000,60,7.32,2594,46.29,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Good (670-739),< 250k
BL100070,2023-07-07,45,Male,Married,Graduate,Salaried,6.7,Telangana,Tier 3,Rural,708400,59033,68700,1,61200,310400,612,High,Personal,975000,36,8.8,30914,62.07,Complete,Verified,Partner,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),500k-1M
BL100071,2024-01-15,22,Male,Single,Graduate,Business Owner,1.8,West Bengal,Tier 2,Semi-Urban,618000,51500,155700,0,140400,237400,600,High,Personal,273000,84,9.47,4458,33.85,Complete,Verified,Partner,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),250k-500k
BL100072,2024-05-07,23,Female,Married,Post Graduate,Business Owner,6.2,Gujarat,Tier 2,Semi-Urban,2441900,203492,213900,1,23700,50300,756,Low,Business,1754000,84,6.57,26105,21.59,Incomplete,Verified,Website,Approved,2024-05-20,Disbursed,2024-05-26,1754000,Current,10,0,1,0,1,> 1.5M,Very Good (740-799),> 1.5M
BL100073,2025-11-30,46,Male,Single,Graduate,Self-Employed,2.4,Delhi,Tier 2,Semi-Urban,1290200,107517,75100,3,114700,485700,568,Very High,Business,2296000,36,9.08,73098,73.81,Complete,Verified,Branch,Approved,2025-12-10,Disbursed,2025-12-20,2296000,Current,0,0,1,0,1,1M-1.5M,Poor (300-579),> 1.5M
BL100074,2023-01-15,49,Other,Married,Diploma,Salaried,16.4,Andhra Pradesh,Tier 2,Semi-Urban,590700,49225,321700,0,78400,120600,621,High,Home,994000,36,8.7,31470,118.39,Complete,Pending,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),500k-1M
BL100075,2023-03-06,32,Female,Widowed,Post Graduate,Self-Employed,13.8,Maharashtra,Tier 3,Semi-Urban,539100,44925,55700,2,114300,223400,581,High,Vehicle,115000,72,8.8,2062,14.92,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),< 250k
BL100076,2024-06-04,28,Male,Married,Diploma,Self-Employed,3.0,Tamil Nadu,Tier 2,Urban,372700,31058,24400,1,34500,946400,605,High,Personal,316000,72,8.12,5559,24.45,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),250k-500k
BL100077,2024-10-09,40,Male,Married,Post Graduate,Self-Employed,10.1,Andhra Pradesh,Tier 3,Urban,843300,70275,30400,0,261900,238300,555,Very High,Home,336000,12,9.0,29384,45.42,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Poor (300-579),250k-500k
BL100078,2025-12-22,25,Female,Married,Post Graduate,Self-Employed,12.2,Maharashtra,Tier 3,Semi-Urban,407700,33975,72800,0,50000,200900,592,High,Business,261000,60,8.88,5403,33.76,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),250k-500k
BL100079,2024-08-15,36,Male,Married,Graduate,Salaried,3.1,Delhi,Tier 3,Semi-Urban,579400,48283,53300,2,23000,243100,586,High,Education,293000,36,9.6,9399,28.67,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),250k-500k
BL100080,2024-01-27,35,Male,Married,High School,Salaried,3.7,Tamil Nadu,Tier 2,Semi-Urban,542400,45200,172900,0,30600,751100,524,Very High,Business,358000,36,9.8,11518,57.36,Complete,Verified,Partner,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
